# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexing.writer_3.totalTimeSpentWritingMs,1741339738496000000,1741339798682000000,0
Indexing.cache.totalCacheEvicted,1741339738496000000,1741339798682000000,0
Indexing.totalTimeIndexersSleptMs,1741339738496000000,1741339798682000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1741339738496000000,1741339798682000000,0
IndexesFlusher.totalContentionQuotaSpent,1741339738496000000,1741339798682000000,0
IndexesFlusher.totalFlushes,1741339738496000000,1741339798682000000,59
IndexesFlusher.totalFlushesRetried,1741339738496000000,1741339798682000000,0
Indexing.writesQueuedMin,1741339738496000000,1741339798682000000,9223372036854775807
Indexing.writesQueuedMax,1741339738496000000,1741339798682000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1741339738496000000,1741339798682000000,0
Indexing.cache.totalCacheMisses,1741339738496000000,1741339798682000000,0
Indexing.cache.totalCacheAccesses,1741339738496000000,1741339798682000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1741339738496000000,1741339798682000000,0
IndexesFlusher.totalFlushingTimeUs,1741339738496000000,1741339798682000000,243569
DiskQueryRelay.tasksRequested,1741339738496000000,1741339798682000000,9
writeAction.count,1741339738496000000,1741339798682000000,2
DiskQueryRelay.taskWaitingTotalTimeUs,1741339738496000000,1741339798682000000,16279
writeAction.median.wait.ms,1741339738496000000,1741339798682000000,0
writeAction.wait.ms,1741339738496000000,1741339798682000000,0
writeAction.max.wait.ms,1741339738496000000,1741339798682000000,0
DiskQueryRelay.tasksExecuted,1741339738496000000,1741339798682000000,9
DiskQueryRelay.taskExecutionTotalTimeUs,1741339738496000000,1741339798682000000,2417
workspaceModel.mutableEntityStorage.add.entity.ms,1741339738496000000,1741339798682000000,9
jps.save.global.entities.ms,1741339738496000000,1741339798682000000,122
workspaceModel.mutableEntityStorage.resolve.ms,1741339738496000000,1741339798682000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1741339738496000000,1741339798682000000,1
workspaceModel.load.cache.metadata.from.file.ms,1741339738496000000,1741339798682000000,7
jps.global.get.libraries.ms,1741339738496000000,1741339798682000000,0
workspaceModel.global.updates.ms,1741339738496000000,1741339798682000000,6
workspaceModel.mutableEntityStorage.replace.by.source.ms,1741339738496000000,1741339798682000000,5
workspaceModel.load.cache.from.file.ms,1741339738496000000,1741339798682000000,70
workspaceModel.global.apply.state.to.project.builder.ms,1741339738496000000,1741339798682000000,0
workspaceModel.mutableEntityStorage.instances.count,1741339738496000000,1741339798682000000,4
workspaceModel.mutableEntityStorage.collect.changes.ms,1741339738496000000,1741339798682000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1741339738496000000,1741339798682000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1741339738496000000,1741339798682000000,0
jps.global.handle.before.change.events.ms,1741339738496000000,1741339798682000000,0
